商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,,expansion,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,
,800374475,王闘竜皇 ボルシャック・ドラゴン,,DM25RP1,DM1秘/DM1,DMR,王道W 第1弾 邪神vs邪神～ソウル・オブ・ジ・アビス～,,,,,カード,38080,25000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SecDM1.jpg,,,,
,800374470,王闘竜皇 ボルシャック・ドラゴン,,DM25RP1,DM1/DM1,DMR,王道W 第1弾 邪神vs邪神～ソウル・オブ・ジ・アビス～,,,,,カード,1480,1300,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-DM1.jpg,,,,
,800374450,蒼神龍トライクラブ・トライショット,,DM25RP1,TD3/TD5,R,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,280,50,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TD03.jpg,,,,
,800374445,砕慄接続 グレイトフル・ベン,,DM25RP1,TD2/TD5,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,480,200,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-TD02.jpg,,,,
,800374435,蒼龍の大地,,DM25RP1,SP5/SP5,R,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1280,700,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SP5.jpg,,,,
,800374430,光開の精霊サイフォゲート,,DM25RP1,SP4/SP5,R,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,22800,19000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SP4.jpg,,,,
,800374425,頂上接続 ムザルミ＝ブーゴ1st,,DM25RP1,SP3/SP5,VR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,7280,5500,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SP3.jpg,,,,
,800374420,ボルシャック・ドリーム・ドラゴン,,DM25RP1,SP2/SP5,SR,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,25800,22000,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SP2.jpg,,,,
,800374415,ボルシャック・モモキングNEX,,DM25RP1,SP1/SP5,KGM,第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,,,,,カード,1280,800,,https://dm.takaratomy.co.jp/wp-content/card/cardimage/dm25rp1-SP1.jpg,,,,
